id,M9_solder_measurement,M9_board_measurement,M8_solder_measurement,M8_board_measurement,M7_solder_measurement,M7_board_measurement,M9_board_measurement_sm,M9_solder_measurement_sm,M8_board_measurement_sm,M8_solder_measurement_sm,M7_board_measurement_sm,M7_solder_measurement_sm,M9_solder_simulation,M9_board_simulation,M8_solder_simulation,M8_board_simulation,M7_solder_simulation,M7_board_simulation
224,219.3434,247.8824,206.4043,237.1127,184.8528,214.3505,248.857277759295,220.125906205604,234.803075279175,206.006811372833,214.689590494325,184.857298558582,125.73579,156.905138,118.200942,146.691992,111.978582,138.999877
225,220.148,249.9111,207.0099,236.7128,185.8239,215.0354,249.815708357022,220.628646591064,235.214748451529,206.85163228005,215.630828069787,185.779392155575,126.252164,157.456024,118.656117,147.154874,112.414415,139.450146
226,221.073,253.0503,207.6557,235.4731,186.5522,214.8339,250.782291832591,221.278962396253,235.682899623894,207.696848042709,216.559244123592,186.699036782593,126.767991,158.001207,119.11048,147.612898,112.849553,139.895638
227,221.9978,254.162,208.4226,235.4731,187.8066,217.4518,251.872376246054,222.033950188888,236.084873211486,208.537679559652,217.438833780842,187.620441658877,127.283024,158.540613,119.563847,148.066044,113.283809,140.336301
228,222.9222,253.4077,209.2296,236.113,188.8181,220.148,252.991926798129,222.851142546644,236.499652966846,209.374049689533,218.282129874011,188.539304693245,127.797047,159.074137,120.016053,148.514261,113.717018,140.772103
229,223.8063,254.162,210.1171,236.273,189.4655,220.148,254.046908689533,223.688072047199,237.006222642514,210.205881291008,219.101665235576,189.451323794517,128.309857,159.601793,120.466955,148.957516,114.149031,141.203027
230,224.5695,255.4317,210.8835,236.033,190.1938,219.5848,254.943287120981,224.502271268231,237.683565991032,211.03309722273,219.909972698009,190.352196871511,128.821288,160.123625,120.916412,149.395835,114.579719,141.629069
231,225.4531,254.7175,211.69,236.7928,191.2862,220.9926,255.704548435295,225.386199028467,238.597210947718,211.896973068925,220.734491644371,191.243572270013,129.331189,160.639543,121.364323,149.829213,115.008963,142.050237
232,226.4567,255.5506,212.4158,238.5913,192.1763,222.1184,256.408283133114,226.382378078747,239.679153867118,212.799152302055,221.564160911435,192.128584796416,129.839413,161.149525,121.810583,150.257649,115.436661,142.466546
233,227.3397,257.1764,213.4235,239.9893,192.9853,221.3947,257.041612651881,227.373436894908,240.808081130616,213.680109613126,222.353762512241,193.005162050451,130.345841,161.653688,122.255112,150.681198,115.862719,142.878023
234,228.1421,257.216,214.2296,240.9474,193.8348,221.5958,257.59165842904,228.242003952792,241.862679119593,214.480319693146,223.058078459832,193.871231631848,130.850365,162.152033,122.697817,151.09988,116.287059,143.284697
235,228.9844,256.78,215.4383,243.979,194.6437,223.8866,258.125907478644,229.040239201625,242.953094188445,215.212294449218,223.630949942161,194.724716635496,131.352891,162.644546,123.138629,151.513716,116.70961,143.686608
236,229.8264,258.5237,216.3646,247.0465,195.3717,224.208,258.671831065835,229.862239971949,244.197433331994,215.921420755963,224.092166830437,195.566594117132,131.853335,163.131356,123.577488,151.922774,117.130308,144.083797
237,230.6682,260.1078,217.0492,247.3252,196.3019,223.6857,259.156527004691,230.653540811575,245.486323892268,216.597485755665,224.495434162587,196.399372617756,132.351622,163.612512,124.014338,152.327093,117.549102,144.476312
238,231.3093,259.5535,217.7738,246.9271,197.4341,225.8145,259.50709310929,231.359676268312,246.71039321129,217.230276590605,224.894456976533,197.225560678369,132.847688,164.087935,124.449132,152.726705,117.96594,144.864201
239,231.8702,259.3159,218.2971,248.4792,198.3237,227.46,259.650627193709,231.92618088997,247.760268631089,217.809580403068,225.342940310201,198.047666839971,133.341477,164.557798,124.881831,153.121687,118.380781,145.247519
240,232.7915,260.187,218.5788,248.6782,198.9705,227.2995,259.623244625503,232.357754460211,248.680026885981,218.268813212218,225.721223234828,198.854218344923,133.832939,165.022242,125.3124,153.512088,118.793588,145.626318
241,233.5922,260.0682,218.8605,248.2405,199.7385,226.0955,259.490533461817,232.703586759084,249.561267716698,218.613720477269,225.978976534992,199.64288817375,134.322031,165.481199,125.740808,153.897946,119.204335,146.000655
242,233.467003125,259.1179,219.1824,249.5135,200.4661,226.0152,259.223800551114,232.975947328988,250.365902974887,218.94258350057,226.273902818631,200.429903474695,134.808716,165.934728,126.16703,154.279335,119.612992,146.370588
243,233.34180625,259.9098,219.2227,250.9448,201.1531,226.537,258.794352741857,233.187105712324,251.055844512193,219.353683584472,226.763704693684,201.231491396004,135.292962,166.382991,126.591045,154.656317,120.019522,146.736175
244,233.216609375,258.65362,219.3434,250.3883,201.9209,226.6574,258.144913279844,233.284795210521,251.699845833135,219.854543107056,227.445312060366,202.049070966212,135.774743,166.825999,127.012826,155.028951,120.423925,147.097475
245,233.0914125,257.39744,219.5848,251.223,202.7694,226.4166,257.281940078478,233.246541327958,252.342478314291,220.375347801782,228.201953514443,202.870864310805,136.254039,167.263858,127.432372,155.397279,120.826195,147.454549
246,232.966215625,256.14126,219.8262,253.2886,203.537,226.9384,256.272341987629,233.129301911455,252.909380615405,220.89837400408,229.020779707175,203.693303223453,136.730823,167.696656,127.849669,155.761385,121.2263,147.807456
247,232.84101875,254.88508,220.4698,254.4398,204.2237,228.8641,255.183027857165,232.990034807835,253.326191396218,221.405898049378,229.888941289823,204.512819497827,137.205087,168.124416,128.264716,156.12132,121.624234,148.156256
248,232.715821875,253.6289,221.2339,253.4474,205.0718,230.3475,254.080906536955,232.885697863919,253.518549316472,221.880196273103,230.793588913648,205.325844927599,137.676817,168.547194,128.677479,156.477132,122.019981,148.501008
249,232.590625,252.37272,222.1988,253.9635,206.1217,231.0689,252.973282391399,232.76746796318,253.524477181121,222.408397967227,231.879895694584,206.168498100785,138.146004,168.965106,129.087974,156.828912,122.413547,148.841773
250,232.465428125,251.11654,223.4045,254.5985,207.131,233.9925,251.797667042001,232.583261907399,253.412845019379,223.014388578362,233.174814171054,207.046815408506,138.61264,169.378257,129.496195,157.176682,122.804928,149.17861
251,232.34023125,249.86036,224.4491,253.8841,208.14,236.6329,250.516280224287,232.385147420858,253.155562327382,223.585578673901,234.488164128055,207.912105349089,139.076719,169.786662,129.902138,157.520532,123.194121,149.511577
252,232.215034375,248.60418,225.2523,253.4474,208.8664,237.0327,249.091341673783,232.22519222784,252.724538601266,224.009378821238,235.629765350581,208.715676420863,139.538238,170.190397,130.305816,157.860505,123.581125,149.840732
253,232.0898375,247.348,225.098842424242,252.1914375,209.4717,236.6728,247.558612627218,232.100012367721,252.02487025172,224.284171259535,236.658793299779,209.473577925472,139.997198,170.589525,130.707211,158.196658,123.96594,150.166134
254,231.964640625,246.09182,224.945384848485,250.935475,210.1978,238.5114,245.958668523563,231.972430524163,251.051309110963,224.488041378668,237.721517770348,210.223776017766,140.453598,170.984147,131.10633,158.529055,124.348568,150.487838
255,231.83944375,244.83564,224.791927272727,249.6795125,210.9239,239.4302,244.260950401707,231.843824387882,249.910247807431,224.627954472095,238.75840004761,210.950454475881,140.90744,171.374354,131.503175,158.857743,124.729012,150.805902
256,231.714246875,243.57946,224.63846969697,248.42355,211.7707,238.6712,242.434899300539,231.715571649589,248.708078969556,224.710875833274,239.709901416885,211.637797077953,141.358729,171.760145,131.897751,159.182802,125.107276,151.12038
257,231.58905,242.32328,224.485012121212,247.1675875,212.6174,239.7896,240.449956258945,231.58905,247.551195225775,224.743770755664,240.516483163497,212.269987602117,141.807467,172.141624,132.290064,159.504252,125.483373,151.431328
258,231.463853125,241.0671,224.331554545455,245.911625,213.01514375,241.1869,238.231748985599,231.464115172443,246.416799458808,224.651539779797,241.238515314714,212.829473768747,142.253661,172.518834,132.680122,159.822167,125.857294,151.738799
259,231.33865625,234.9129,224.178096969697,244.6556625,213.4128875,240.7079,235.800222593042,231.339474143356,245.209437859571,224.421838272046,241.928778635929,213.32899928485,142.697315,172.891883,133.067929,160.136605,126.229041,152.042845
260,231.213459375,229.8264,224.024639393939,243.3997,213.81063125,241.2268,233.266294225967,231.214781468114,243.92651801879,224.155763764626,242.516350519651,213.798191908514,143.13844,173.260818,133.453494,160.447594,126.59864,152.34352
261,231.0882625,228.3828,223.871181818182,242.1437375,214.208375,243.3809,230.740881029069,231.089691702092,242.565447527191,223.954413789755,242.930308358385,214.266679397823,143.577025,173.62568,133.836827,160.755225,126.966085,152.640877
262,230.963065625,229.0245,223.717724242424,240.887775,214.60611875,244.4573,228.089677021487,230.9913224045,241.187521545768,223.803928277475,243.218034950672,214.724419854695,144.013106,173.986544,134.217934,161.059517,127.33139,152.934961
