M9_board,M9_center,M9_corner,M8_board,M8_center,M8_corner,M7_board,M7_center,M7_corner
480.9639973,448.7066079,458.7505524,465.6336427,436.088952,442.5307971,457.0565657,428.3965792,442.5307971
481.3623155,449.1801845,459.2024071,466.002561,436.5246367,442.9562314,457.4185086,428.8211565,442.9562314
481.7563991,449.651098,459.6513631,466.3674004,436.9578603,443.3790332,457.7764807,429.2433576,443.3790332
482.1462763,450.1193521,460.0974371,466.7282946,437.388629,443.7992132,458.1305269,429.6631797,443.7992132
482.5319999,450.5849557,460.5406459,467.0852452,437.81695,444.2167786,458.4806483,430.0806383,444.2167786
482.913605,451.0479383,460.9810069,467.4383682,438.2428333,444.6317397,458.8269417,430.4957228,444.6317397
483.2911505,451.5082976,461.4185382,467.7876409,438.6662878,445.0441073,459.1694464,430.9084415,445.0441073
483.6647745,451.966051,461.8532549,468.1332218,439.0873246,445.4538914,459.5082756,431.3187999,445.4538914
484.0345131,452.4211993,462.2851762,468.4750801,439.5059508,445.8611041,459.8434227,431.7268049,445.8611041
484.4003248,452.8737475,462.7143176,468.8133394,439.9221773,446.2657562,460.1749856,432.1324654,446.2657562
484.7623139,453.3237297,463.1406964,469.1479992,440.3360131,446.6678603,460.5030116,432.5357901,446.6678603
485.1206377,453.7711416,463.5643319,469.4791639,440.7474738,447.0674279,460.8275091,432.9367887,447.0674279
485.4752583,454.2160007,463.9852431,469.8068114,441.1565553,447.4644712,461.1486055,433.3354725,447.4644712
485.8262308,454.658302,464.4034444,470.1310894,441.5632887,447.859003,461.4663384,433.7318502,447.859003
486.1736103,455.0980878,464.8189533,470.4519635,441.9676813,448.2510367,461.7806964,434.1259348,448.2510367
486.5174805,455.535352,465.2317909,470.7695496,442.3697442,448.6405849,462.0917661,434.5177358,448.6405849
486.8578827,455.970111,465.6419731,471.0838444,442.7694903,449.0276616,462.3995761,434.9072652,449.0276616
487.1948637,456.4023749,466.0495162,471.3949441,443.1669388,449.4122789,462.7042068,435.2945309,449.4122789
487.528394,456.8321586,466.4544386,471.7028245,443.5620873,449.7944514,463.0056971,435.6795527,449.7944514
487.8586588,457.2594739,466.8567585,472.0076223,443.9549492,450.1741918,463.3040893,436.0623377,450.1741918
